uid,anime_uid,Mean_score
725,1698,10
727,933,9
729,60,8
730,490,8
732,121,10
733,61,9
737,199,7
738,199,10
739,527,4
740,1575,4
741,243,9
742,457,10
743,169,6
744,263,9
746,1538,4
748,469,9
750,269,10
751,681,5
753,232,10
755,1829,7
756,934,9
757,488,8
758,1827,9
759,837,6
761,226,9
763,379,6
764,338,10
768,1562,7
769,1991,5
770,2356,3
771,529,8
780,1729,9
781,328,6
782,1,8
783,5,8
786,1535,8
787,2034,10
788,1589,8
790,488,8
791,1888,9
792,30,10
793,245,10
795,1735,10
797,593,10
798,849,5
799,457,10
803,57,9
805,1696,8
806,1582,5
807,877,9
808,226,6
809,150,9
810,1535,10
811,147,10
814,914,10
815,710,10
816,849,9
817,243,6
818,934,8
821,811,9
822,911,10
823,22,8
824,1726,10
826,1084,3
828,1486,10
832,226,10
833,1686,5
838,1575,9
839,2476,6
840,579,7
842,529,8
844,204,8
847,934,10
849,845,7
850,1726,5
851,1686,10
855,646,10
856,226,10
857,330,8
858,357,6
860,2476,5
861,889,8
862,474,9
863,872,9
864,239,10
865,785,7
867,2404,8
868,239,9
869,1887,10
870,126,9
872,185,8
877,1887,8
879,1887,9
880,1726,9
882,64,10
883,341,9
887,658,10
889,659,8
890,816,4
891,539,9
893,855,8
896,48,10
897,1555,8
898,618,3
899,849,9
901,1530,8
903,3113,5
904,2158,10
905,239,10
906,408,5
907,330,7
908,942,6
909,667,7
910,1654,8
911,1543,8
912,486,9
913,1379,7
914,849,7
915,345,9
916,2517,9
917,64,6
918,65,7
919,1719,7
920,322,7
921,437,9
923,1691,8
924,1887,6
925,325,7
927,524,8
928,953,9
929,1535,6
930,387,10
932,1562,6
935,334,10
936,2476,7
938,1029,9
941,431,10
943,1698,10
945,30,10
948,609,7
950,2159,10
952,995,10
954,121,9
955,694,8
956,339,8
957,732,6
958,189,10
960,176,6
961,2476,4
962,1601,8
963,2001,10
964,269,6
966,76,8
967,1532,6
968,269,8
969,1535,10
970,356,8
972,1860,9
973,2001,10
976,2321,10
977,2001,9
978,2002,5
980,1559,9
981,226,8
983,2726,9
985,2001,10
988,2605,9
989,2602,9
990,317,6
991,2476,7
992,2449,5
993,861,8
996,120,10
997,1048,10
1001,57,9
1003,1686,7
1004,1840,7
1007,54,8
1009,121,10
1010,731,10
1017,2798,7
1019,1699,5
1020,412,7
1021,3050,7
1022,133,5
1023,849,5
1024,2611,8
1026,1962,9
1027,379,7
1028,2001,10
1029,177,7
1030,2034,8
1031,2035,9
1032,1222,7
1033,593,8
1035,79,9
1036,2476,8
1037,24,3
1038,415,9
1040,853,10
1041,74,6
1042,102,9
1043,651,6
1044,1829,6
1045,74,8
1046,1808,9
1048,1829,9
1049,202,10
1050,75,9
1051,2001,9
1052,1689,9
1053,1575,9
1056,863,8
1059,1033,10
1060,227,9
1061,270,9
1063,1735,7
1066,570,9
